pp,n,arcface_inversion_similarity_mean,arcface_inversion_similarity_sd,arcface_similarity_mean,arcface_similarity_sd,arcface_similarity_reduction_mean,arcface_similarity_reduction_sd,arcface_calibration_error_mean,arcface_calibration_error_sd,facenet_inversion_similarity_mean,facenet_inversion_similarity_sd,facenet_similarity_mean,facenet_similarity_sd,facenet_similarity_reduction_mean,facenet_similarity_reduction_sd,pixel_mse_mean,pixel_mse_sd,vgg_distance_mean,vgg_distance_sd,ssim_mean,ssim_sd,arcface_at_or_below_pp_rate,gender_agreement_rate,expression_agreement_rate
0.9,10,0.963145483,0.009140022,0.900071388,0.000590441,0.063074094,0.008926334,0.000480999,0.000311797,0.875383770,0.058854073,0.882317466,0.045182313,-0.006933695,0.038241051,0.007150994,0.004270507,0.202754424,0.062507880,0.667438143,0.086432261,0.400,0.800,0.800
0.6,10,0.964757532,0.009587100,0.601158041,0.001382381,0.363599491,0.010264917,0.001498188,0.000952407,0.868772793,0.063013135,0.795519292,0.068262761,0.073253500,0.066333292,0.007664013,0.004051174,0.211424005,0.061023971,0.659182054,0.086141354,0.100,0.900,0.700
0.3,10,0.965295517,0.008555740,0.301252505,0.001520520,0.664043012,0.009278700,0.001591541,0.001113826,0.872680742,0.054970396,0.641533053,0.123438491,0.231147689,0.132136678,0.008765907,0.004278078,0.229070151,0.063512571,0.645637810,0.090020343,0.300,0.700,0.700
