image_id,identity_id,pp,seed,run_name,run_dir,input_image,inversion_image,final_image,arcface_inversion_similarity,arcface_similarity,arcface_similarity_reduction,arcface_recorded_similarity,arcface_calibration_error,arcface_at_or_below_pp,independent_facenet_inversion_similarity,independent_facenet_similarity,independent_facenet_similarity_reduction,pixel_mse,vgg_distance,ssim,gender_agreement,expression_agreement
00002,,0.3,42,job_19431167_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431167_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00002.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431167_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431167_seed42/final.png,0.9652405977249146,0.30310750007629395,0.6621330976486206,0.3037271499633789,0.0031075000762939564,False,0.9363338947296143,0.650658369064331,0.2856755256652832,0.004770898725837469,0.23244404792785645,0.7547459602355957,False,True
00002,,0.6,42,job_19431166_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431166_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00002.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431166_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431166_seed42/final.png,0.9666064381599426,0.6027063131332397,0.3639001250267029,0.6027839183807373,0.0027063131332397683,False,0.92710942029953,0.8558132648468018,0.07129615545272827,0.004354586824774742,0.214478000998497,0.7552969455718994,False,True
00002,,0.9,42,job_19430906_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19430906_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00002.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19430906_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00002_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19430906_seed42/final.png,0.9611254930496216,0.8993523716926575,0.06177312135696411,0.8993760347366333,0.0006476283073425515,True,0.9459235668182373,0.939035177230835,0.006888389587402344,0.003889465471729636,0.20659512281417847,0.7629669904708862,False,True
00012,,0.3,42,job_19431170_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431170_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00012.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431170_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431170_seed42/final.png,0.9578735828399658,0.3015599548816681,0.6563136279582977,0.30144891142845154,0.001559954881668102,False,0.8298195600509644,0.6815354824066162,0.14828407764434814,0.008171929977834225,0.1773197203874588,0.742058277130127,True,True
00012,,0.6,42,job_19431169_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431169_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00012.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431169_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431169_seed42/final.png,0.952863335609436,0.6013199090957642,0.3515434265136719,0.601353645324707,0.0013199090957641824,False,0.8100534677505493,0.8544972538948059,-0.04444378614425659,0.007378865033388138,0.16282054781913757,0.7547559142112732,True,True
00012,,0.9,42,job_19431168_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431168_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00012.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431168_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00012_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431168_seed42/final.png,0.9538372755050659,0.9006739854812622,0.05316329002380371,0.9007459878921509,0.0006739854812621848,False,0.8182706236839294,0.9057492613792419,-0.0874786376953125,0.007026132196187973,0.1550823301076889,0.7610113024711609,True,True
00016,,0.3,42,job_19431173_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431173_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00016.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431173_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431173_seed42/final.png,0.9675048589706421,0.3005809187889099,0.6669239401817322,0.30068087577819824,0.0005809187889099232,False,0.7861385345458984,0.5551573038101196,0.2309812307357788,0.0066432226449251175,0.2411501407623291,0.6335932612419128,True,False
00016,,0.6,42,job_19431172_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431172_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00016.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431172_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.6_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431172_seed42/final.png,0.966257631778717,0.6004623770713806,0.3657952547073364,0.6005151271820068,0.00046237707138063744,False,0.792471706867218,0.72170490026474,0.07076680660247803,0.00620974600315094,0.23090210556983948,0.634498119354248,True,False
00016,,0.9,42,job_19431171_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431171_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00016.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431171_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00016_deid_staged_cpp_pp0.9_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431171_seed42/final.png,0.9636917114257812,0.900066614151001,0.06362509727478027,0.900011420249939,6.661415100095436e-05,False,0.7874090075492859,0.8446381688117981,-0.05722916126251221,0.005018263589590788,0.21403911709785461,0.6474220752716064,True,False
00018,,0.3,42,job_19431176_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00018_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431176_seed42,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/data/ffhq-dataset-v2/processed/00018.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00018_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431176_seed42/inversion/final.png,/d/hpc/home/ak1790/mag/SB/FaceDNeRF-deid/output_final_evaluation/00018_deid_staged_cpp_pp0.3_deid2.5_origin1.0_gender0.01_expr0.01_latent0.0016_invvgg0.8_invid0.1_deidvgg0.4_deidpx512/job_19431176_seed42/final.png,0.972097635269165,0.3020837604999542,0.6700138747692108,0.30228251218795776,0.0020837604999542347,False,0.8764628171920776,0.5906772613525391,0.2857855558395386,0.008200719021260738,0.2426893264055252,0.6103348135948181,True,True
